Website,Title,Employer,Location,lat,lon,Country,Skills
http://www.edsa-project.eu/adzuna/eyJhbGciOiJIUzI1NiJ9.eyJpIjoiMTA2MzEwMTkwIiwicyI6IkRvZnVlWGs1Unp5S2cyUlFOeWdXRmcifQ.v8u2XQwJUVflPipH2A_wg-HMrjYEl2BkL8EMOrRZ5m0,Back End Developer,n/a,Victoria,51.503378,-0.139134,United Kingdom,software development|sdlc|php|software design|compiler
http://www.edsa-project.eu/adzuna/eyJhbGciOiJIUzI1NiJ9.eyJpIjoiMTg5ODU1MTY5IiwicyI6IlZ2X2hvMlFrU182dHN5dkphRDlBc2cifQ.Sz9a6KKWGzfQvFz21hAZQxJZxx1S-4kUkjdLUVN6-aY,PHP Developer (MVC / Symfony),PeerIndex,Victoria,51.503378,-0.139134,United Kingdom,software development|sdlc|php|symfony
http://www.edsa-project.eu/adzuna/eyJhbGciOiJIUzI1NiJ9.eyJpIjoiMTgzMDkwOTYwIiwicyI6IlBUbWNBUk55UWQtZFRUOU9PMkFxZXcifQ.ADTQ99K7qKrU50oGNRbSW1Nzruw4Sn6GuWk8lcXJHgQ,Senior Javascript Engineer,Qubit,Victoria,51.503378,-0.139134,United Kingdom,javascript|compiler
http://www.edsa-project.eu/adzuna/eyJhbGciOiJIUzI1NiJ9.eyJpIjoiMjA0NTY1Mjc1IiwicyI6IkRvZnVlWGs1Unp5S2cyUlFOeWdXRmcifQ.bN8Hdgq-UFbmRL4Axh9wv2WRnm4uxcNiuEKnid1LKgw,Global Markets Technology & Operations - Industrial Placement (6 months),Bank of America,Victoria,51.503378,-0.139134,United Kingdom,finance|data mining
http://www.edsa-project.eu/adzuna/eyJhbGciOiJIUzI1NiJ9.eyJpIjoiMjA0NTY1MjcyIiwicyI6IkRvZnVlWGs1Unp5S2cyUlFOeWdXRmcifQ.JjaAhA6XpvbeCn5YlY468UhI51L_w1JHrtnrCkNZyA8,Global Markets Technology & Operations Analyst Summer Internship,Bank of America,Victoria,51.503378,-0.139134,United Kingdom,analysis|finance|data mining
http://www.edsa-project.eu/adzuna/eyJhbGciOiJIUzI1NiJ9.eyJpIjoiMjA0NTY1Mjg2IiwicyI6IkRvZnVlWGs1Unp5S2cyUlFOeWdXRmcifQ.QxZTESRY5SKH4ey-A5kKfSy7H3_zf97QTwtj2qKdIF4,Global Markets Technology and Operations Analyst Programme,Bank of America,Victoria,51.503378,-0.139134,United Kingdom,analysis|finance|data mining
http://www.edsa-project.eu/adzuna/eyJhbGciOiJIUzI1NiJ9.eyJpIjoiMjQyNTMzNDM5IiwicyI6IjNSQVhxVTRiUmFHZ2c4UmJKYkZBV3cifQ.IRgXSCHoSzRkpCDd0Fh9cZKbokjwxtXaijkW1N8ncig,DBA for IoT (Database Administrator & Developer),Polytec Personnel Ltd,Chesterton,52.202499,0.131237,United Kingdom,software development|sdlc|database|nosql|mongodb
http://www.edsa-project.eu/adzuna/eyJhbGciOiJIUzI1NiJ9.eyJpIjoiMjU0MzAyMzAxIiwicyI6IjYydkJILUFjVDRHNElJMHRuV2IxZHcifQ.B74pddDDUquPvMuijYsHPkpPXh1mTQ19-9nibHL4rpk,Digital Marketing Executive,n/a,United Kingdom,54.75844,-2.69531,United Kingdom,data analysis
http://www.edsa-project.eu/adzuna/eyJhbGciOiJIUzI1NiJ9.eyJpIjoiMjU0MzAzMTMyIiwicyI6ImdkNGF6RW53VFpPc0NwTUJzcFNGRWcifQ.shNdp490bY1xA0baDSI0Jy1cfY2ZzWfuk4O26pdHptA,SENIOR JAVA DEVELOPER (J2EE/J2SE),n/a,United Kingdom,54.75844,-2.69531,United Kingdom,java|java-ee|hadoop|amazon web services|data warehouse|uml
http://www.edsa-project.eu/adzuna/eyJhbGciOiJIUzI1NiJ9.eyJpIjoiMjU0MzAzMTUwIiwicyI6Imp2bTNwcWlKUnNDbjN1TElHSWd6aHcifQ.4Mm-OHGDbmlV-kr_Wr6bjCtywVRJlT1Bj8jvpZeKgJA,Programador Senior SCALA,n/a,United Kingdom,54.75844,-2.69531,United Kingdom,soa
